source_ID,source_name,source_type,mapping_type,target_ID,target_name,target_type,mapping_description
M1036,Account Use Policies,Mitigation,MITIGATES,T1110,Brute Force,Technique,"Set account lockout policies after a certain number of failed login attempts to prevent passwords from being guessed. Too strict a policy may create a denial of service condition and render environments un-usable, with all accounts used in the brute force being locked-out."
M1036,Account Use Policies,Mitigation,MITIGATES,T1110.004,Credential Stuffing,Technique,"Set account lockout policies after a certain number of failed login attempts to prevent passwords from being guessed. Too strict a policy may create a denial of service condition and render environments un-usable, with all accounts used in the brute force being locked-out."
M1036,Account Use Policies,Mitigation,MITIGATES,T1110.001,Password Guessing,Technique,"Set account lockout policies after a certain number of failed login attempts to prevent passwords from being guessed. Too strict a policy may create a denial of service condition and render environments un-usable, with all accounts used in the brute force being locked-out."
M1036,Account Use Policies,Mitigation,MITIGATES,T1110.003,Password Spraying,Technique,"Set account lockout policies after a certain number of failed login attempts to prevent passwords from being guessed. Too strict a policy may create a denial of service condition and render environments un-usable, with all accounts used in the brute force being locked-out."
M1015,Active Directory Configuration,Mitigation,MITIGATES,T1003.005,Cached Domain Credentials,Technique,"Consider adding users to the ""Protected Users"" Active Directory security group. This can help limit the caching of users' plaintext credentials.(Citation: Microsoft Protected Users Security Group)"
M1015,Active Directory Configuration,Mitigation,MITIGATES,T1003.006,DCSync,Technique,"Manage the access control list for ""Replicating Directory Changes"" and other permissions associated with domain controller replication.(Citation: ADSecurity Mimikatz DCSync)(Citation: Microsoft Replication ACL)"
M1015,Active Directory Configuration,Mitigation,MITIGATES,T1558.001,Golden Ticket,Technique,"For containing the impact of a previously generated golden ticket, reset the built-in KRBTGT account password twice, which will invalidate any existing golden tickets that have been created with the KRBTGT hash and other Kerberos tickets derived from it. For each domain, change the KRBTGT account password once, force replication, and then change the password a second time. Consider rotating the KRBTGT account password every 180 days.(Citation: STIG krbtgt reset)"
M1015,Active Directory Configuration,Mitigation,MITIGATES,T1552.006,Group Policy Preferences,Technique,Remove vulnerable Group Policy Preferences.(Citation: Microsoft MS14-025)
M1015,Active Directory Configuration,Mitigation,MITIGATES,T1003,OS Credential Dumping,Technique,"
Manage the access control list for “Replicating Directory Changes” and other permissions associated with domain controller replication. (Citation: AdSecurity DCSync Sept 2015) (Citation: Microsoft Replication ACL) Consider adding users to the ""Protected Users"" Active Directory security group. This can help limit the caching of users' plaintext credentials.(Citation: Microsoft Protected Users Security Group)"
M1015,Active Directory Configuration,Mitigation,MITIGATES,T1550.003,Pass the Ticket,Technique,"To contain the impact of a previously generated golden ticket, reset the built-in KRBTGT account password twice, which will invalidate any existing golden tickets that have been created with the KRBTGT hash and other Kerberos tickets derived from it.(Citation: ADSecurity Kerberos and KRBTGT) For each domain, change the KRBTGT account password once, force replication, and then change the password a second time. Consider rotating the KRBTGT account password every 180 days.(Citation: STIG krbtgt reset)"
M1015,Active Directory Configuration,Mitigation,MITIGATES,T1606.002,SAML Tokens,Technique,"For containing the impact of a previously forged SAML token, rotate the token-signing AD FS certificate in rapid succession twice, which will invalidate any tokens generated using the previous certificate.(Citation: Mandiant Defend UNC2452 White Paper)"
M1015,Active Directory Configuration,Mitigation,MITIGATES,T1134.005,SID-History Injection,Technique,"Clean up SID-History attributes after legitimate account migration is complete.

Consider applying SID Filtering to interforest trusts, such as forest trusts and external trusts, to exclude SID-History from requests to access domain resources. SID Filtering ensures that any authentication requests over a trust only contain SIDs of security principals from the trusted domain (i.e preventing the trusted domain from claiming a user has membership in groups outside of the domain).

SID Filtering of forest trusts is enabled by default, but may have been disabled in some cases to allow a child domain to transitively access forest trusts. SID Filtering of external trusts is automatically enabled on all created external trusts using Server 2003 or later domain controllers. (Citation: Microsoft Trust Considerations Nov 2014) (Citation: Microsoft SID Filtering Quarantining Jan 2009) However note that SID Filtering is not automatically applied to legacy trusts or may have been deliberately disabled to allow inter-domain access to resources.

SID Filtering can be applied by: (Citation: Microsoft Netdom Trust Sept 2012)

* Disabling SIDHistory on forest trusts using the netdom tool (<code>netdom trust /domain: /EnableSIDHistory:no</code> on the domain controller)

* Applying SID Filter Quarantining to external trusts using the netdom tool (<code>netdom trust <TrustingDomainName> /domain:<TrustedDomainName> /quarantine:yes</code> on the domain controller)

* Applying SID Filtering to domain trusts within a single forest is not recommended as it is an unsupported configuration and can cause breaking changes. (Citation: Microsoft Netdom Trust Sept 2012) (Citation: AdSecurity Kerberos GT Aug 2015) If a domain within a forest is untrustworthy then it should not be a member of the forest. In this situation it is necessary to first split the trusted and untrusted domains into separate forests where SID Filtering can be applied to an interforest trust"
M1015,Active Directory Configuration,Mitigation,MITIGATES,T1072,Software Deployment Tools,Technique,Ensure proper system and access isolation for critical network systems through use of group policy.
M1015,Active Directory Configuration,Mitigation,MITIGATES,T1558,Steal or Forge Kerberos Tickets,Technique,"For containing the impact of a previously generated golden ticket, reset the built-in KRBTGT account password twice, which will invalidate any existing golden tickets that have been created with the KRBTGT hash and other Kerberos tickets derived from it. For each domain, change the KRBTGT account password once, force replication, and then change the password a second time. Consider rotating the KRBTGT account password every 180 days.(Citation: STIG krbtgt reset)"
M1015,Active Directory Configuration,Mitigation,MITIGATES,T1552,Unsecured Credentials,Technique,Remove vulnerable Group Policy Preferences.(Citation: Microsoft MS14-025)
M1049,Antivirus/Antimalware,Mitigation,MITIGATES,T1059,Command and Scripting Interpreter,Technique,Anti-virus can be used to automatically quarantine suspicious files. 
M1049,Antivirus/Antimalware,Mitigation,MITIGATES,T1547.006,Kernel Modules and Extensions,Technique,"Common tools for detecting Linux rootkits include: rkhunter (Citation: SourceForge rkhunter), chrootkit (Citation: Chkrootkit Main), although rootkits may be designed to evade certain detection tools."
M1049,Antivirus/Antimalware,Mitigation,MITIGATES,T1027,Obfuscated Files or Information,Technique,Consider utilizing the Antimalware Scan Interface (AMSI) on Windows 10 to analyze commands after being processed/interpreted. (Citation: Microsoft AMSI June 2015)
M1049,Antivirus/Antimalware,Mitigation,MITIGATES,T1566,Phishing,Technique,Anti-virus can automatically quarantine suspicious files.
