ID,name,description,url,created,last modified,version,platforms,aliases,type,contributors
S0066,3PARA RAT,[3PARA RAT](https://attack.mitre.org/software/S0066) is a remote access tool (RAT) programmed in C++ that has been used by [Putter Panda](https://attack.mitre.org/groups/G0024). (Citation: CrowdStrike Putter Panda),https://attack.mitre.org/software/S0066,31-May-17,30-Mar-20,1.1,Windows,,Malware,
S0065,4H RAT,[4H RAT](https://attack.mitre.org/software/S0065) is malware that has been used by [Putter Panda](https://attack.mitre.org/groups/G0024) since at least 2007. (Citation: CrowdStrike Putter Panda),https://attack.mitre.org/software/S0065,31-May-17,30-Mar-20,1.1,Windows,,Malware,
S0469,ABK,[ABK](https://attack.mitre.org/software/S0469) is a downloader that has been used by [BRONZE BUTLER](https://attack.mitre.org/groups/G0060) since at least 2019.(Citation: Trend Micro Tick November 2019),https://attack.mitre.org/software/S0469,10-Jun-20,24-Jun-20,1,Windows,,Malware,
S0045,ADVSTORESHELL,[ADVSTORESHELL](https://attack.mitre.org/software/S0045) is a spying backdoor that has been used by [APT28](https://attack.mitre.org/groups/G0007) from at least 2012 to 2016. It is generally used for long-term espionage and is deployed on targets deemed interesting after a reconnaissance phase. (Citation: Kaspersky Sofacy) (Citation: ESET Sednit Part 2),https://attack.mitre.org/software/S0045,31-May-17,30-Mar-20,1.1,Windows,"AZZY, EVILTOSS, NETUI, Sedreco",Malware,
S0073,ASPXSpy,[ASPXSpy](https://attack.mitre.org/software/S0073) is a Web shell. It has been modified by [Threat Group-3390](https://attack.mitre.org/groups/G0027) actors to create the ASPXTool version. (Citation: Dell TG-3390),https://attack.mitre.org/software/S0073,31-May-17,30-Mar-20,1.1,Windows,ASPXTool,Malware,
S0552,AdFind,[AdFind](https://attack.mitre.org/software/S0552) is a free command-line query tool that can be used for gathering information from Active Directory.(Citation: Red Canary Hospital Thwarted Ryuk October 2020)(Citation: FireEye FIN6 Apr 2019)(Citation: FireEye Ryuk and Trickbot January 2019),https://attack.mitre.org/software/S0552,28-Dec-20,29-Dec-20,1,Windows,,Tool,
S0331,Agent Tesla,[Agent Tesla](https://attack.mitre.org/software/S0331) is a spyware Trojan written for the .NET framework that has been observed since at least 2014.(Citation: Fortinet Agent Tesla April 2018)(Citation: Bitdefender Agent Tesla April 2020)(Citation: Malwarebytes Agent Tesla April 2020),https://attack.mitre.org/software/S0331,29-Jan-19,21-Apr-21,1.2,Windows,,Malware,
S0092,Agent.btz,[Agent.btz](https://attack.mitre.org/software/S0092) is a worm that primarily spreads itself via removable devices such as USB drives. It reportedly infected U.S. military networks in 2008. (Citation: Securelist Agent.btz),https://attack.mitre.org/software/S0092,31-May-17,30-Mar-20,1.1,Windows,,Malware,
S0504,Anchor,[Anchor](https://attack.mitre.org/software/S0504) is one of a family of backdoor malware that has been used in conjunction with [TrickBot](https://attack.mitre.org/software/S0266) on selected high profile targets since at least 2018.(Citation: Cyberreason Anchor December 2019)(Citation: Medium Anchor DNS July 2020),https://attack.mitre.org/software/S0504,10-Sep-20,5-Oct-20,1,"Linux, Windows",Anchor_DNS,Malware,"Cybereason Nocturnus, @nocturnus"
S0584,AppleJeus,"[AppleJeus](https://attack.mitre.org/software/S0584) is a family of downloaders initially discovered in 2018 embedded within trojanized cryptocurrency applications. [AppleJeus](https://attack.mitre.org/software/S0584) has been used by [Lazarus Group](https://attack.mitre.org/groups/G0032), targeting companies in the energy, finance, government, industry, technology, and telecommunications sectors, and several countries including the United States, United Kingdom, South Korea, Australia, Brazil, New Zealand, and Russia. [AppleJeus](https://attack.mitre.org/software/S0584) has been used to distribute the [FALLCHILL](https://attack.mitre.org/software/S0181) RAT.(Citation: CISA AppleJeus Feb 2021)",https://attack.mitre.org/software/S0584,1-Mar-21,27-Apr-21,1,"Windows, macOS",,Malware,
S0456,Aria-body,[Aria-body](https://attack.mitre.org/software/S0456) is a custom backdoor that has been used by [Naikon](https://attack.mitre.org/groups/G0019).(Citation: CheckPoint Naikon May 2020),https://attack.mitre.org/software/S0456,26-May-20,3-Jul-20,1,Windows,,Malware,
S0099,Arp,[Arp](https://attack.mitre.org/software/S0099) displays information about a system's Address Resolution Protocol (ARP) cache. (Citation: TechNet Arp),https://attack.mitre.org/software/S0099,31-May-17,17-Oct-18,1,"Linux, Windows, macOS",arp.exe,Tool,
S0373,Astaroth,"[Astaroth](https://attack.mitre.org/software/S0373) is a Trojan and information stealer known to affect companies in Europe, Brazil, and throughout Latin America. It has been known publicly since at least late 2017. (Citation: Cybereason Astaroth Feb 2019)(Citation: Cofense Astaroth Sept 2018)(Citation: Securelist Brazilian Banking Malware July 2020)",https://attack.mitre.org/software/S0373,17-Apr-19,8-Dec-20,2,Windows,Guildma,Malware,"Carlos Borges, @huntingneo, CIP"
S0438,Attor,[Attor](https://attack.mitre.org/software/S0438) is a Windows-based espionage platform that has been seen in use since 2013. [Attor](https://attack.mitre.org/software/S0438) has a loadable plugin architecture to customize functionality for specific targets.(Citation: ESET Attor Oct 2019),https://attack.mitre.org/software/S0438,6-May-20,7-Jul-20,1,Windows,,Malware,ESET
S0347,AuditCred,[AuditCred](https://attack.mitre.org/software/S0347) is a malicious DLL that has been used by [Lazarus Group](https://attack.mitre.org/groups/G0032) during their 2018 attacks.(Citation: TrendMicro Lazarus Nov 2018),https://attack.mitre.org/software/S0347,30-Jan-19,30-Mar-20,1.1,Windows,Roptimizer,Malware,
S0129,AutoIt backdoor,[AutoIt backdoor](https://attack.mitre.org/software/S0129) is malware that has been used by the actors responsible for the MONSOON campaign. The actors frequently used it in weaponized .pps files exploiting CVE-2014-6352. (Citation: Forcepoint Monsoon) This malware makes use of the legitimate scripting language for Windows GUI automation with the same name.,https://attack.mitre.org/software/S0129,31-May-17,30-Mar-20,1.1,Windows,,Malware,
S0473,Avenger,[Avenger](https://attack.mitre.org/software/S0473) is a downloader that has been used by [BRONZE BUTLER](https://attack.mitre.org/groups/G0060) since at least 2019.(Citation: Trend Micro Tick November 2019),https://attack.mitre.org/software/S0473,11-Jun-20,24-Jun-20,1,Windows,,Malware,
S0344,Azorult,"[Azorult](https://attack.mitre.org/software/S0344) is a commercial Trojan that is used to steal information from compromised hosts. [Azorult](https://attack.mitre.org/software/S0344) has been observed in the wild as early as 2016.
In July 2018, [Azorult](https://attack.mitre.org/software/S0344) was seen used in a spearphishing campaign against targets in North America. [Azorult](https://attack.mitre.org/software/S0344) has been seen used for cryptocurrency theft. (Citation: Unit42 Azorult Nov 2018)(Citation: Proofpoint Azorult July 2018)",https://attack.mitre.org/software/S0344,30-Jan-19,30-Mar-20,1.2,Windows,,Malware,
S0031,BACKSPACE,[BACKSPACE](https://attack.mitre.org/software/S0031) is a backdoor used by [APT30](https://attack.mitre.org/groups/G0013) that dates back to at least 2005. (Citation: FireEye APT30),https://attack.mitre.org/software/S0031,31-May-17,30-Mar-20,1.1,Windows,Lecna,Malware,
S0245,BADCALL,[BADCALL](https://attack.mitre.org/software/S0245) is a Trojan malware variant used by the group [Lazarus Group](https://attack.mitre.org/groups/G0032). (Citation: US-CERT BADCALL),https://attack.mitre.org/software/S0245,17-Oct-18,30-Mar-20,1.1,Windows,,Malware,
S0128,BADNEWS,"[BADNEWS](https://attack.mitre.org/software/S0128) is malware that has been used by the actors responsible for the [Patchwork](https://attack.mitre.org/groups/G0040) campaign. Its name was given due to its use of RSS feeds, forums, and blogs for command and control. (Citation: Forcepoint Monsoon) (Citation: TrendMicro Patchwork Dec 2017)",https://attack.mitre.org/software/S0128,31-May-17,21-Oct-20,1.2,Windows,,Malware,
S0470,BBK,[BBK](https://attack.mitre.org/software/S0470) is a downloader that has been used by [BRONZE BUTLER](https://attack.mitre.org/groups/G0060) since at least 2019.(Citation: Trend Micro Tick November 2019),https://attack.mitre.org/software/S0470,10-Jun-20,24-Jun-20,1,Windows,,Malware,
S0127,BBSRAT,[BBSRAT](https://attack.mitre.org/software/S0127) is malware with remote access tool functionality that has been used in targeted compromises. (Citation: Palo Alto Networks BBSRAT),https://attack.mitre.org/software/S0127,31-May-17,30-Mar-20,1.2,Windows,,Malware,
S0017,BISCUIT,[BISCUIT](https://attack.mitre.org/software/S0017) is a backdoor that has been used by [APT1](https://attack.mitre.org/groups/G0006) since as early as 2007. (Citation: Mandiant APT1),https://attack.mitre.org/software/S0017,31-May-17,30-Mar-20,1.2,Windows,,Malware,
S0190,BITSAdmin,[BITSAdmin](https://attack.mitre.org/software/S0190) is a command line tool used to create and manage [BITS Jobs](https://attack.mitre.org/techniques/T1197). (Citation: Microsoft BITSAdmin),https://attack.mitre.org/software/S0190,18-Apr-18,20-Mar-20,1.2,Windows,,Tool,Edward Millington
S0069,BLACKCOFFEE,[BLACKCOFFEE](https://attack.mitre.org/software/S0069) is malware that has been used by several Chinese groups since at least 2013. (Citation: FireEye APT17) (Citation: FireEye Periscope March 2018),https://attack.mitre.org/software/S0069,31-May-17,30-Mar-20,1.1,Windows,,Malware,
S0520,BLINDINGCAN,"[BLINDINGCAN](https://attack.mitre.org/software/S0520) is a remote access Trojan that has been used by the North Korean government since at least early 2020 in cyber operations against defense, engineering, and government organizations in Western Europe and the US.(Citation: US-CERT BLINDINGCAN Aug 2020)(Citation: NHS UK BLINDINGCAN Aug 2020)",https://attack.mitre.org/software/S0520,27-Oct-20,17-Mar-21,1,Windows,,Malware,"Daniyal Naeem, BT Security"
S0360,BONDUPDATER,"[BONDUPDATER](https://attack.mitre.org/software/S0360) is a PowerShell backdoor used by [OilRig](https://attack.mitre.org/groups/G0049). It was first observed in November 2017 during targeting of a Middle Eastern government organization, and an updated version was observed in August 2018 being used to target a government organization with spearphishing emails.(Citation: FireEye APT34 Dec 2017)(Citation: Palo Alto OilRig Sep 2018)",https://attack.mitre.org/software/S0360,18-Feb-19,9-Feb-21,1.2,Windows,,Malware,
S0415,BOOSTWRITE,[BOOSTWRITE](https://attack.mitre.org/software/S0415) is a loader crafted to be launched via abuse of the DLL search order of applications used by [FIN7](https://attack.mitre.org/groups/G0046).(Citation: FireEye FIN7 Oct 2019),https://attack.mitre.org/software/S0415,11-Oct-19,15-Oct-19,1,Windows,,Malware,
S0114,BOOTRASH,[BOOTRASH](https://attack.mitre.org/software/S0114) is a [Bootkit](https://attack.mitre.org/techniques/T1542/003) that targets Windows operating systems. It has been used by threat actors that target the financial sector.(Citation: Mandiant M Trends 2016)(Citation: FireEye Bootkits)(Citation: FireEye BOOTRASH SANS),https://attack.mitre.org/software/S0114,31-May-17,9-Feb-21,1.1,Windows,,Malware,"Christopher Glyer, FireEye, @cglyer"
S0014,BS2005,[BS2005](https://attack.mitre.org/software/S0014) is malware that was used by [Ke3chang](https://attack.mitre.org/groups/G0004) in spearphishing campaigns since at least 2011. (Citation: Villeneuve et al 2014),https://attack.mitre.org/software/S0014,31-May-17,30-Mar-20,1.1,Windows,,Malware,
S0043,BUBBLEWRAP,"[BUBBLEWRAP](https://attack.mitre.org/software/S0043) is a full-featured, second-stage backdoor used by the [admin@338](https://attack.mitre.org/groups/G0018) group. It is set to run when the system boots and includes functionality to check, upload, and register plug-ins that can further enhance its capabilities. (Citation: FireEye admin@338)",https://attack.mitre.org/software/S0043,31-May-17,30-Mar-20,1.1,Windows,Backdoor.APT.FakeWinHTTPHelper,Malware,
S0414,BabyShark,[BabyShark](https://attack.mitre.org/software/S0414) is a Microsoft Visual Basic (VB) script-based malware family that is believed to be associated with several North Korean campaigns. (Citation: Unit42 BabyShark Feb 2019),https://attack.mitre.org/software/S0414,7-Oct-19,12-Mar-21,1.2,Windows,,Malware,
S0475,BackConfig,[BackConfig](https://attack.mitre.org/software/S0475) is a custom Trojan with a flexible plugin architecture that has been used by [Patchwork](https://attack.mitre.org/groups/G0040).(Citation: Unit 42 BackConfig May 2020),https://attack.mitre.org/software/S0475,17-Jun-20,29-Jun-20,1,Windows,,Malware,
S0093,Backdoor.Oldrea,[Backdoor.Oldrea](https://attack.mitre.org/software/S0093) is a backdoor used by [Dragonfly](https://attack.mitre.org/groups/G0035). It appears to be custom malware authored by the group or specifically for it. (Citation: Symantec Dragonfly),https://attack.mitre.org/software/S0093,31-May-17,30-Mar-20,1.1,Windows,Havex,Malware,
S0337,BadPatch,[BadPatch](https://attack.mitre.org/software/S0337) is a Windows Trojan that was used in a Gaza Hackers-linked campaign.(Citation: Unit 42 BadPatch Oct 2017),https://attack.mitre.org/software/S0337,29-Jan-19,17-Mar-20,1.1,Windows,,Malware,
S0234,Bandook,"[Bandook](https://attack.mitre.org/software/S0234) is a commercially available RAT, written in Delphi, which has been available since roughly 2007  (Citation: EFF Manul Aug 2016) (Citation: Lookout Dark Caracal Jan 2018).",https://attack.mitre.org/software/S0234,17-Oct-18,30-Mar-20,1.1,Windows,,Malware,
S0239,Bankshot,"[Bankshot](https://attack.mitre.org/software/S0239) is a remote access tool (RAT) that was first reported by the Department of Homeland Security in December of 2017. In 2018, [Lazarus Group](https://attack.mitre.org/groups/G0032) used the [Bankshot](https://attack.mitre.org/software/S0239) implant in attacks against the Turkish financial sector. (Citation: McAfee Bankshot)",https://attack.mitre.org/software/S0239,17-Oct-18,30-Mar-20,1.1,Windows,Trojan Manuscript,Malware,
S0534,Bazar,"[Bazar](https://attack.mitre.org/software/S0534) is a downloader and backdoor malware in use since at least April 2020, with infections mainly targeting professional services, healthcare, manufacturing, IT, logistics and travel companies across the US and Europe. [Bazar](https://attack.mitre.org/software/S0534) has been reported to have ties to [TrickBot](https://attack.mitre.org/software/S0266) campaigns and can be used to deploy additional malware, including ransomware, and to steal sensitive data.(Citation: Cybereason Bazar July 2020)",https://attack.mitre.org/software/S0534,18-Nov-20,16-Apr-21,1,Windows,"KEGTAP, Team9",Malware,"Cybereason Nocturnus, @nocturnus"
S0574,BendyBear,"[BendyBear](https://attack.mitre.org/software/S0574) is an x64 shellcode for a stage-zero implant designed to download malware from a C2 server. First discovered in August 2020, [BendyBear](https://attack.mitre.org/software/S0574) shares a variety of features with [Waterbear](https://attack.mitre.org/software/S0579), malware previously attributed to the Chinese cyber espionage group [BlackTech](https://attack.mitre.org/groups/G0098).(Citation: Unit42 BendyBear Feb 2021)",https://attack.mitre.org/software/S0574,16-Feb-21,21-Apr-21,1,Windows,,Malware,
S0268,Bisonal,"[Bisonal](https://attack.mitre.org/software/S0268) is malware that has been used in attacks against targets in Russia, South Korea, and Japan. It has been observed in the wild since 2014. (Citation: Unit 42 Bisonal July 2018)",https://attack.mitre.org/software/S0268,17-Oct-18,30-Mar-20,1.1,Windows,,Malware,
S0570,BitPaymer,"[BitPaymer](https://attack.mitre.org/software/S0570) is a ransomware variant first observed in August 2017 targeting hospitals in the U.K. [BitPaymer](https://attack.mitre.org/software/S0570) uses a unique encryption key, ransom note, and contact information for each operation. [BitPaymer](https://attack.mitre.org/software/S0570) has several indicators suggesting overlap with the [Dridex](https://attack.mitre.org/software/S0384) malware and is often delivered via [Dridex](https://attack.mitre.org/software/S0384).(Citation: Crowdstrike Indrik November 2018)",https://attack.mitre.org/software/S0570,8-Feb-21,26-Apr-21,1,Windows,"FriedEx, wp_encrypt",Malware,
S0089,BlackEnergy,"[BlackEnergy](https://attack.mitre.org/software/S0089) is a malware toolkit that has been used by both criminal and APT actors. It dates back to at least 2007 and was originally designed to create botnets for use in conducting Distributed Denial of Service (DDoS) attacks, but its use has evolved to support various plug-ins. It is well known for being used during the confrontation between Georgia and Russia in 2008, as well as in targeting Ukrainian institutions. Variants include BlackEnergy 2 and BlackEnergy 3. (Citation: F-Secure BlackEnergy 2014)",https://attack.mitre.org/software/S0089,31-May-17,26-Apr-21,1.3,Windows,Black Energy,Malware,
S0564,BlackMould,"[BlackMould](https://attack.mitre.org/software/S0564) is a web shell based on [China Chopper](https://attack.mitre.org/software/S0020) for servers running Microsoft IIS. First reported in December 2019, it has been used in malicious campaigns by [GALLIUM](https://attack.mitre.org/groups/G0093) against telecommunication providers.(Citation: Microsoft GALLIUM December 2019)",https://attack.mitre.org/software/S0564,14-Jan-21,23-Mar-21,1,Windows,,Malware,
S0521,BloodHound,[BloodHound](https://attack.mitre.org/software/S0521) is an Active Directory (AD) reconnaissance tool that can reveal hidden relationships and identify attack paths within an AD environment.(Citation: GitHub Bloodhound)(Citation: CrowdStrike BloodHound April 2018)(Citation: FoxIT Wocao December 2019),https://attack.mitre.org/software/S0521,28-Oct-20,24-Nov-20,1,Windows,,Tool,
S0486,Bonadan,[Bonadan](https://attack.mitre.org/software/S0486) is a malicious version of OpenSSH which acts as a custom backdoor. [Bonadan](https://attack.mitre.org/software/S0486) has been active since at least 2018 and combines a new cryptocurrency-mining module with the same credential-stealing module used by the Onderon family of backdoors.(Citation: ESET ForSSHe December 2018),https://attack.mitre.org/software/S0486,16-Jul-20,10-Aug-20,1,Linux,,Malware,
S0252,Brave Prince,"[Brave Prince](https://attack.mitre.org/software/S0252) is a Korean-language implant that was first observed in the wild in December 2017. It contains similar code and behavior to [Gold Dragon](https://attack.mitre.org/software/S0249), and was seen along with [Gold Dragon](https://attack.mitre.org/software/S0249) and [RunningRAT](https://attack.mitre.org/software/S0253) in operations surrounding the 2018 Pyeongchang Winter Olympics. (Citation: McAfee Gold Dragon)",https://attack.mitre.org/software/S0252,17-Oct-18,21-Apr-20,1.1,Windows,,Malware,
S0204,Briba,[Briba](https://attack.mitre.org/software/S0204) is a trojan used by [Elderwood](https://attack.mitre.org/groups/G0066) to open a backdoor and download files on to compromised hosts. (Citation: Symantec Elderwood Sept 2012) (Citation: Symantec Briba May 2012),https://attack.mitre.org/software/S0204,18-Apr-18,9-Feb-21,1,Windows,,Malware,
